content,label
帝尧说唉，你们谁顺应天命，你们谁接替我的帝位。四岳说我们的德行鄙陋得很不配登上帝位，帝尧说那就从所有同姓异姓远近大臣及隐居者当中推举吧。大家说有一个单身汉流寓在民间叫虞舜，帝尧说对我听说过他这个人怎么样，四岳说他是个盲人的儿子，帝尧说那我就试试他吧,政治能力
帝尧让舜参与百官的事，百官的事变有条不紊,政治能力
尧帝戴的是黄色的帽子，穿的是黑色衣裳，朱红色的车子驾白马,|
尧帝尊敬有善德的人，尧帝使同族九代相亲相爱,私德品行
帝尧告退，帝尧让舜行天子政务,|
帝尧派舜进入山野丛林大川草泽，帝尧认为舜十分聪明很有道德，帝尧说三年来你做事周密说了的话就能做到现在你就登临天子位吧，舜推让，舜说德行不够,政治能力
帝尧让出帝位,|
舜接受尧的禅让,|
帝尧号为陶唐,|
舜代理天子之政事，帝尧观察舜做天子是否合天意,政治能力
帝尧命令安排农活,政治能力
帝尧说谁可以继承我的这个事业，放齐说你的儿子丹朱通达事理。帝尧说哼丹朱么他这个人愚顽凶恶不能用。帝尧问道那么还有谁可以。驩兜说共工广泛地聚集民众做出了业绩可以用，帝尧说共工好讲漂亮话用心不正讲话的时候看似非常恭敬其实心不在焉不能用。,"政治能力,私德品行"
帝尧认为这样做很好，就让舜试任司徒之职，谨慎地理顺父义母慈兄友弟恭子孝这五种伦理道德，人民都遵从不违,政治能力
文祖是尧的太祖,家庭背景
民众劳作，鸟兽生育,政治能力
