content,label
项羽说，来客是干什么的。张良说，这是沛公的参乘樊哙。项羽说壮士，项羽赏赐酒。项羽说赏给樊哙猪腿,['私德品行']
项羽派龙且迎战,['军事能力']
汉军包围项羽，项羽斩汉军的一个都尉，项羽杀死百十来人。项羽说，怎么样，骑兵佩服项羽,['军事能力']
项羽找黥布蒲将军商量，说，秦军官兵还很多，他们心里不服，到了关中不听从命令，事情必然岌岌可危，不如杀掉他们，而只与章邯、长史司马欣、都尉董翳一起入秦。楚军处死秦军士卒二十多万人,['政治能力']
项羽使长史司马欣为上将军，使长史司马欣率领秦军为先行部队,['军事能力']
项羽立申阳为河南王,['政治能力']
项梁拿郡守的脑袋，身上系郡守的官印。项羽杀死百十来人。项梁召集昔日所熟悉的有胆识的豪吏，项梁讲所要做的起兵反秦这件事情。,['军事能力']
项羽围攻成皋,['军事能力']
项羽看见秦朝宫室都已烧毁残破不堪，项羽怀念故乡，项羽欲东归。项羽说，富贵了不回故乡，如同衣绣夜行有谁能知道,['私德品行']
韩王成没有军功，项羽让韩王成到彭城，韩王成废去王号，项羽杀死韩王成,['军事能力']
齐工市害怕项羽,['私德品行']
项羽催促义帝动身去长沙郴县,['|']
