content,label
孝文太后去世,|
在西北方出现彗星,|
孝景皇帝改诸侯王国的丞相为相,政治能力
孝景皇帝封大将军窦婴为魏其侯，立楚元王的儿子平陆侯刘礼为楚王，立皇子刘端为胶西王，立皇子刘胜为中山王，封淮阳王刘余为鲁王，封汝南王刘非为江都王。,政治能力
孝景皇帝允许欢聚宴饮,"政治能力,私德品行"
江都地区遭遇从西方刮来的大风暴，毁坏城墙,|
匈奴的两个王率领部众归降，孝景皇帝封他们为列侯,政治能力
荧惑逼近北辰的位置，在北辰的中间出现月亮,传奇色彩
孝景皇帝修建阳陵。孝景皇帝拨二十万招募百姓迁阳陵,政治能力
孝景皇帝大赦天下，孝景皇帝赐予爵一级，孝景皇帝减免田租，孝景皇帝修建太宗庙,"政治能力,私德品行"
刘濞发动叛乱，孝景皇帝处死晁错，孝景皇帝派袁盎谕告七国。孝景皇帝派遣大将军窦婴、太尉周亚夫讨伐他们,"政治能力,军事能力"
孝景皇帝大赦天下，赐予爵位一级,"政治能力,私德品行"
广川王长沙王前往自己的封国,政治能力
匈奴入侵上郡,军事能力
孝景皇帝封原来的相国萧何的孙子萧系为武陵侯,政治能力
孝景皇帝赦免囚犯,"政治能力,私德品行"
孝景皇帝立胶东王为皇太子,政治能力
郅将军出击匈奴,军事能力
孝景皇帝去世，遗诏赐予爵位一级，让宫女回到自己家里，免除宫女终身的赋税和徭役,私德品行
孝景皇帝建造德阳宫,私德品行
孝景皇帝召临江王问罪,政治能力
孝景皇帝任命御史大夫桃侯刘舍为丞相,政治能力
孝景皇帝废除官职,政治能力
皇太子刘彻举行冠礼,|
孝景皇帝大赦天下,"政治能力,私德品行"
孝景皇帝改中大夫令为卫尉,政治能力
孝景皇帝改广川王为赵王,政治能力
衡山下冰雹，最大的直径有一尺八寸,|
发生地震,|
孝景皇帝封十人为侯,政治能力
孝景皇帝立皇子刘方为清河王,政治能力
发生地震,|
孝景皇帝立皇子刘舜为常山王,政治能力
孝景皇帝赦免奴隶,"政治能力,私德品行"
发生旱灾，百姓流行瘟疫,|
孝景皇帝大赦天下，赐予百姓爵位一级,"政治能力,私德品行"
皇帝来到雍县郊祭五帝,政治能力
丞相刘舍免除职务,政治能力
孝景皇帝封原来的御史大夫周苛的孙子周平为绳侯，封原来的御史大夫周昌的孙子周左车为安阳侯,政治能力
孝景皇帝用树木填兰池,|
孝景皇帝的母亲是窦太后,家庭背景
九月的最后一天出现日食,|
孝景皇帝大赦天下,"政治能力,私德品行"
前任王后生三个男孩，三个男孩死亡，孝敬皇帝嗣位,家庭背景
孝景皇帝改赵国为邯郸郡,政治能力
禁止天下百姓吃当年收获的粮食，在京城的列侯前往自己的封地，减少列侯数量,政治能力
出现日食,|
孝景皇帝立皇太子，孝景皇帝封皇子刘彻为胶东王,政治能力
全国发生涝灾,|
孝景皇帝大赦天下，赐予百姓爵位一级，中二千石的官员和诸侯国的相赐爵,"政治能力,私德品行"
孝景皇帝设置南陵和内史祋祤为县,政治能力
发生地震,|
