content,label
孝武皇帝去雍县郊祀，孝武皇帝到陇西，孝武皇帝登崆峒山，孝武皇帝回到甘泉命令祠官宽舒等筹建泰一祠坛，祠官宽舒等修筑八条鬼神通道,['政治能力']
孝武皇帝到泰山，孝武皇帝祭祀常山,['传奇色彩']
有的方士说黄帝时建造五城十二楼目的就是在执期等候仙人称为迎年，孝武皇帝允许兴建，称为明年。孝武皇帝穿黄色衣服祭祀上天,['传奇色彩']
孝武皇帝刻天道将军的玉印，孝武皇帝派使者穿羽衣，栾大穿羽衣站在白茅上接受此玉印。栾大佩戴天道将军印是将要为天子引导天神，栾大想使神仙下临,['政治能力']
孝武皇帝说，黄河泛滥，修堤，我统治天下，上天要赐我贤才之士，就是栾大，栾大通天意。栾大为乐通侯,['政治能力']
孝武皇帝和公卿、儒生讨论封禅的事，孝武皇帝命令儒生们练习射牛，孝武皇帝听公孙卿和方士的话，孝武皇帝仿效黄帝接见神仙人蓬莱方士之法。,['传奇色彩']
李少君见到孝武皇帝，孝武皇帝藏一件旧铜器，孝武皇帝问李少君，李少君说这件铜器曾经在齐桓公十年时陈列在柏寝台。孝武皇帝察看字，是齐桓公时代的器物,['传奇色彩']
孝武皇帝修建前殿，扩建宫室,['政治能力']
五利将军去往泰山，孝武皇帝派人尾随检察，孝武皇帝发现五利将军实际上什么也没见到，五利将军谎称见到他的老师。孝武皇帝杀五利将军,['传奇色彩']
孝武皇帝给老人加赐布帛二匹，免除徭役，不缴纳当年的租税，大赦天下，凡我经过的地方免除监外执行的劳役,['政治能力']
方土们说蓬莱各神山似乎也将找到了，孝武皇帝认为自己也许能遇到神仙，孝武皇帝到海边希望看到蓬莱仙岛,['传奇色彩']
孝武皇帝从封禅之处回来，说，我以卑微之体继承了至高无上的权位，兢兢业业深恐不能胜任,['政治能力']
