content,label
武王说上天将赐福给大家，武王拜谢还礼,"传奇色彩,私德品行"
武王遵循遗业,"政治能力,私德品行"
武王巡视各个诸侯国，武王记录政事，写《武成》篇，武王宣告武灭殷的功业成就,"政治能力,军事能力"
一个火团落在武王的屋顶上，一个火团发出魄魄的鸣声,传奇色彩
武王来到商郊牧野，武王举行誓师,军事能力
武王祭祀文王，武王前往东方举行阅兵，武王到达盟津,军事能力
武王放出狱，表彰百姓,"私德品行,政治能力"
武王出城，武王回到军中,军事能力
武王自称太子发，武王表示是以文王的名义征伐不敢独断专行,私德品行
武王询问殷朝灭亡的原因,政治能力
武王封尚父，武王封同公旦，其他人受封,政治能力
武王宣告，要小心谨慎，说到做到。我是无知之人，先祖有德行。我承受先人的功业，制定制度，确保完成功业,"私德品行,政治能力"
武王追思古代的圣王,私德品行
武王进城，左右的大臣们跟着武王,政治能力
武王命令宗祝祭祀将士,私德品行
武王作《太誓》，武王宣告现在殷王纣竟然听信妻妾之言，自绝于上天，违背日月北斗的运行，疏远自己的同祖兄弟，竟然废弃其先祖的音乐，敢采用淫乱的音乐去窜改典雅的音乐以取悦于他的妻妾。我执行上天的惩罚,"政治能力,军事能力"
武王命人清理道路，武王修整社庙和商纣的宫室,政治能力
武王来到商的都城，城中的百姓等待欢迎,"政治能力,私德品行"
武王找到纣自焚的地方，武王发箭射纣的尸体，武王砍纣的头，武王砍宠妾的头,军事能力
武王说，殷王罪恶深重，不可不合力讨伐。,"军事能力,政治能力"
武王派师尚父率领百名勇士，武王率领拥有战车三百五十辆士卒两万六千二百五十人勇士三千人的大部队,军事能力
武王命令南宫括散发聚集在鹿台的钱财和巨桥的粮食，赈济野人和贱民,私德品行
