content,label
高祖以南阳郡守为殷侯,政治能力
高祖得到韩信的军队,军事能力
刘氏冠是高祖派求盗到薛县制作的,|
高祖路过沛县，高祖摆设酒席，高祖挑选儿童，教儿童唱歌,私德品行
高祖说：各位诸侯和将领不要隐瞒我，都要说心里话。我能得到天下是什么原因,政治能力
高祖平定楚地，埋葬项羽,军事能力
高祖姓刘，父亲叫太公，母亲叫刘媪。刘媪休息，雷电交作，太公见到一条蛟龙在刘媪身上，刘媪怀孕，刘媪生高祖。,传奇色彩
高祖喜欢施舍,私德品行
高祖封陈恢一千户,政治能力
不愿意隶属高祖，雍齿背叛高祖,|
高祖袭击雍王章邯,军事能力
高祖废秦社稷，改立汉社稷,政治能力
高祖说服齐王田广,政治能力
高祖封建成侯彭越为梁王，原来的韩王信仍为韩王，建都阳翟,政治能力
高祖说：官吏和百姓要安居如故，我到来是除害,私德品行
高祖说：当初楚怀王派遣我，本来是因为我能宽大容人,私德品行
高祖说：我听说皇帝这一尊号，属于有贤德的人，徒有虚名而无其实，不足以守帝位。我不敢承受皇帝之位。,私德品行
楚军出击汉军，打败汉军,军事能力
高祖进入蚀中，高祖烧栈道，高祖防备诸侯军和匪徒的袭击，高祖表示没有东进的意图,军事能力
樊哙跟着高祖来到沛县，沛县县令关闭城门，打算杀掉萧何、曹参。萧何、曹参翻城墙，依附高祖,军事能力
高祖大赦天下,政治能力
项羽愿和高祖西进入关,军事能力
高祖来到田间，吕后告诉：一位客人从这里经过，给我们母子看相，说将来都是大贵人,|
高祖击败黥布的军队,军事能力
高祖说：好,|
吕后找到高祖，高祖感到奇怪，吕后说：你所处的地方上面常有云气，向着有云气的地方去找，常常可以找到你。沛县子弟听到这件事想归附他。,传奇色彩
吕公到门口迎接高祖,|
吕后问高祖：陛下百年以后，萧相国如果死了，让谁接替他？高祖说：曹参可以。高祖说：王陵可以。高祖说：周勃缺少文才，能安定刘氏天下的是周勃，周勃可以做太尉。吕后问其次，高祖说：这以后也不是我所能知道的。,政治能力
高祖朝见太公，太公家令说：天无二日，地无二主。高祖是你的儿子，是万民的君主。太公是父亲，但属于臣下。君主拜见臣下，君主失去威严和尊贵。高祖朝拜太公，太公倒退行走。高祖惊，搀扶太公。太公说：皇帝是万民的君主，怎么能因为我的缘故破坏了天下的法纪。高祖遵奉太公为太上皇，高祖赞美太公家令,政治能力
高祖喜欢女色,私德品行
高祖任亭长，高祖送役徒，高祖估计：等走到郦山，大概都逃光了。高祖释放所押送的役徒。高祖说：各位都走吧，我也从此逃命去了,|
汉军想要攻打韩信,军事能力
高祖赦免燕地官吏和百姓,政治能力
高祖封皇子刘建为燕王,政治能力
高祖封黥布,政治能力
高祖试做官吏，高祖当泗水亭亭长,政治能力
高祖征集一些士卒，军势击破楚军,军事能力
秦始皇说：东南有天子气，秦始皇巡游东方，借以镇伏东南的天子气。高祖怀疑这件事与自己有关。,传奇色彩
高祖说：义帝没有后代,|
高祖是宽大长者,私德品行
高祖采取计策,政治能力
高祖封儿子刘恢为梁王，儿子刘友为淮阳王,政治能力
高祖说：你们知其一，不知其二。运筹划策我不如子房，镇守国家我不如萧何，我不如韩信。这三个人是人中俊杰，我任用他们，这是我取得天下的原因,政治能力
高祖整理衣服，向郦食其道歉,私德品行
高祖率领军队擒获燕王臧荼。高祖立太尉卢绾为燕王,政治能力
高祖收集散兵，到达城阳，高祖打败秦军,军事能力
泗水郡郡守壮逃戚，高祖左司马擒获杀死泗水郡郡守壮,军事能力
高祖砍塞王司马欣的脑袋,军事能力
少年子弟和有势的官吏，如萧何、曹参、樊哙等人，召集兵员，固守丰邑,军事能力
高祖使郦生劝说魏豹,政治能力
高祖追老人，老人说：刚才相过夫人和孩子，他们都跟你相似，你的相貌，贵不可言,传奇色彩
高祖摆设酒席,|
番君的将领梅鋗立有战功，高祖感谢番君的恩德,政治能力
高祖增设疑兵，树旗帜,军事能力
高祖祭祀黄帝。高祖所杀蛇是白帝的儿子，杀蛇的是赤帝的儿子。,传奇色彩
高祖去东垣,|
高祖攻丰,军事能力
高祖的兵力敌不过项羽,军事能力
高祖到长安,|
高祖命令雍齿首位丰邑，高祖引兵赴薛,军事能力
高祖慰劳士卒，安定军心,政治能力
梁王彭越要反叛，高祖处死他的三族,政治能力
高祖有远大的志向,私德品行
高祖派韩信打败韩王郑昌,军事能力
高祖、项羽驻军濮阳东面，击破秦军,军事能力
袁生劝高祖，说：汉与楚在荥阳相持了几年，汉军常处境困难。高祖采纳袁生的计策，出兵宛县、叶县之间，收集兵马,军事能力
高祖讨伐淮南王黥布,军事能力
高祖亲自攻打利几,军事能力
高祖赦免代地被胁迫的官吏和百姓,政治能力
高祖怨恨雍齿,私德品行
高祖即皇帝位,|
赵高派人见高祖，高祖以为是诈骗，高祖采用张良的计策，派郦生、陆贾游说秦军将领，袭击武关,军事能力
陈胜等在蕲县歧义，为王，号称张楚。各郡县杀死长官响应陈胜。沛县县令为秦朝的官吏，要叛秦起事，派樊哙召唤高祖。,军事能力
武负、王媪看见高祖上面常有一条龙，武负、王媪感到很奇怪,传奇色彩
高祖出函谷关，到达陕县，高祖给张耳优厚的待遇,军事能力
高祖派人与秦朝官吏训醒县城乡间，秦地的百姓争拿牛羊酒款待士兵。高祖说：仓库的谷子很多，不缺乏，不愿破费百姓,私德品行
高祖打垮秦军,军事能力
淮阴侯韩信谋反关中，高祖处死韩信的三族,政治能力
高祖派辟阳侯接卢绾,|
高祖同父老们约定，法律只有三条：杀人的处死，伤人和抢劫的处以与所犯罪相当的刑罚,政治能力
高祖赊酒，高祖买酒，高祖赊债务。这两家酒店一笔勾销高祖所赊债务。,私德品行
萧何说：高祖本来大话很多，很少成事,私德品行
高祖任砀郡长,政治能力
高祖说：陈豨曾经给我做事，很遵守信用。封陈豨为列侯,政治能力
高祖杀死魏豹,军事能力
吕公有一亲生女儿，吕公女儿愿意做高祖的妻子。吕媪生吕公的气，说：你最初常想使这个女儿与众不同，把女儿嫁给贵人。吕公作主张，说：这不是你们这些妇孺之辈所能懂得的。吕公女儿嫁给高祖。,家庭背景
高祖封吴芮为长沙王，建都临湘,政治能力
高祖攻占轘辕,军事能力
高祖回到长安,|
高祖引兵成皋,军事能力
医生见高祖，说：病可以治好。高祖谩骂医生，说：我以一个布衣平民，手提三尺剑取得天下，这不是天命吗？命运在天，虽有扁鹊，又有什么用处！高祖不让医生治病，赏赐黄金，叫医生离去。,私德品行
高祖命令别将追击淮南王黥布,军事能力
楚怀王派遣高祖进攻秦地,军事能力
高祖和项羽攻城，到雍丘城下。高祖和项羽破秦军，杀了李由,军事能力
高祖整修河上郡内的长城,政治能力
高祖听说东阳宁君、秦嘉立景驹为假王，住在留县。东阳宁君、高祖引兵，收集散兵，攻下砀县。东阳宁君、高祖手边降兵，得到五六千人，进攻下邑。东阳宁君、高祖回丰邑。高祖回来，攻丰。,军事能力
儿子刘恒为代王,政治能力
高祖想长期建都雒阳，其人刘敬劝阻高祖，留侯张良劝说高祖。高祖进入关中建都,政治能力
高祖看见宫阙极为华丽，高祖非常生气,私德品行
高祖立刘仲为代王,政治能力
安葬高祖,|
赵利的士卒辱骂高祖，高祖气愤。没有辱骂高祖的，高祖宽恕他们,私德品行
天下平定,政治能力
高祖驻扎砀,军事能力
高祖回到沛县,|
