content,label
二世发布诏令，增加始皇陵庙的祭牲以及对山川等各种祭祀的礼数，二世让群臣讨论怎样尊崇始皇庙,私德品行
二世和赵高说我年龄小即位不久百姓还没有全部归附，安然不动不去巡游是没有办法统治天下的。二世巡行郡县,政治能力
二世说先帝后宫的姬妾没有儿子的放出宫去不太合适，二世让殉葬,私德品行
二世震惊，二世说怎么办,政治能力
二世梦见白色的老虎咬他驾车的左边的那匹马，二世占梦，二世斋戒，二世打算祭祀泾水的水神沉入水中四匹白马,传奇色彩
种植革木,政治能力
阎乐上前来到二世面前，阎乐上前列举二世的罪状，阎乐上前说你骄横纵恣屠杀吏民无道已极天下百姓一起背叛了你你自己作打算吧，你屠杀吏民，天下百姓背叛你,私德品行
二世指责赵高,|
二世住在宫中，和赵高决断各种政务，公卿大臣少有朝见的机会,政治能力
二世说我可以见见丞相吗，二世说我希望得到一个郡去做一郡之王，二世希望得到一个郡去做一郡之王，二世愿做万户侯，二世说希望和妻子儿女成为平民百姓和那些公子们一样。阎乐说我受命于丞相替天下百姓处死你。二世自杀,私德品行
二世斥责章邯,|
二世说可以,|
赵高说武力决定一切，二世说很好。二世杀戮大臣和那些公子们，二世逮捕地位较低的近侍之臣和三署郎官，二世假借互相株连，二世派使者说你不像大臣的样子按所犯罪行应当处死由狱吏执法,私德品行
谒者报告叛乱的事情，二世把谒者交给了狱吏治罪，二世问情况，以后的使者说是一群盗贼郡守郡尉正在追捕现在全部抓获了不值得担忧,政治能力
右丞相冯去疾左丞相李斯将军冯劫希望停止阿房宫的兴建，二世说我听韩子说尧舜的栎木屋椽不加整治茅草屋不加修葺吃饭用土碗喝水用瓦盆即使是供给看守城门的吃食和用品也不俭薄到这种程度，凡是尊贵而掌握了天下的人随心所欲，凡是尊贵而掌握了天下的人为所欲为，凡是尊贵而掌握了天下的人着重宣明法治，我制造一千乘车驾，我设置一万乘的随从徒众，我符合万乘之君这一名号，你们不给尽忠竭力，冯去疾李斯冯劫交给囚禁审查罪行，冯去疾李斯冯劫自杀，李斯受刑,"私德品行,政治能力"
二世说这些金石刻辞都是始皇帝镌刻的，我继承皇帝的称号,|
二世为二世皇帝,|
二世采纳赵高的建议，二世申明法令,政治能力
二世安抚四方夷狄，让人教习射御，咸阳三百里以内的百姓不能食用这批粮谷，二世执法更加严格,政治能力
二世回到咸阳，二世又修建阿房宫,私德品行
二世等人回到咸阳，二世等人宣布始皇死亡的消息,政治能力
二世增派长史司马欣董翳协助章邯进攻盗贼，二世杀死陈胜，二世打垮项梁，二世消灭魏咎,军事能力
二世说丞相错了吧，鹿说成马，大臣们惧怕赵高,政治能力
二世大赦天下,政治能力
宗室为之震动,['|']
二世到辽东,['|']
郎中令和阎乐进入二世住处，二世怒，二世叫人员，一个宦官陪侍二世，二世逃室内，二世说你为什么不早告诉我,['私德品行']
