content,label
秦始皇摧毁城郭，挖堤防,政治能力
设置东郡,政治能力
全国赐予一级,政治能力
秦始皇途经丹阳，秦始皇到达钱唐,|
发生饥荒,|
秦国兼并天下，秦始皇下令丞相御史,政治能力
进攻燕国，军队驻扎,军事能力
李斯建议秦始皇，秦始皇派李斯攻打韩国,军事能力
刻碑说：秦始皇即位，秦始皇创立制度，秦始皇申明法令，臣下修治严整，秦始皇兼并天下，没有不顺从的，秦始皇巡视百姓，秦始皇览疆域，治国的方法得到贯彻执行，流传后世。皇帝本身治理国家谋求长远的利益，重视对臣民的教导，教诲传播四方，远近接受意志，遵守职责，颂扬德业,"军事能力,政治能力,私德品行"
王翦羌瘣攻占赵国的东阳地区，王翦羌瘣抓获赵王,军事能力
秦始皇前往琅邪，秦始皇回到咸阳,|
秦国出兵，五国的军队撤,军事能力
秦始皇望祭虞舜，秦始皇浮江，秦始皇观览籍柯，秦始皇渡过江渚,政治能力
秦国占领全部魏国领土,军事能力
秦始皇登琅邪，三万户百姓免除徭役，秦始皇修建琅邪台，秦始皇颂扬德业,政治能力
李斯说：皇帝兼并天下，皇帝分辨是非，皇帝确立至高无上的地位。我希望史官把不是秦国的典籍全部烧掉，以古非今的杀死全族，官吏知情同罪。所不烧毁的是医药卜筮农林方面的书籍。秦始皇下达命令，秦始皇说可以照此办理,政治能力
秦始皇祭祀大禹，秦始皇望祭南海，秦始皇树立石碑,|
秦始皇赐嫪毐山阳地区，由嫪毐决断事无大小。河西太原郡为嫪毐的封国,政治能力
秦始皇下令，有活捉嫪毐的赏钱一百万，杀死嫪毐的赏钱五十万。抓获嫪毐等人。夷灭宗族，罪轻的罚为鬼薪徒役,政治能力
秦始皇回到咸阳,|
百姓缴纳一千石粟米，百姓拜爵一级,政治能力
大梁人尉缭来到秦国，大梁人尉缭劝告秦始皇，秦始皇听从大梁人尉缭的建议,政治能力
秦始皇的母亲去世,|
秦始皇兼并全国，秦始皇确定皇帝这一称号，秦始皇抚循东部地区，秦始皇到达琅邪,"政治能力,军事能力"
秦始皇贬斥听讼断狱不公平的官吏戍守南越地区,政治能力
韩国魏国赵国卫国楚国进攻秦国，夺取寿陵,军事能力
皇帝视察远方，到海边，登之罘,|
秦始皇不任用博士，一切依赖秦始皇,政治能力
秦始皇交他们讨论,政治能力
庄襄王为太上皇,私德品行
我以为这是件好事大概可以偃兵息革了,军事能力
腊祭改名嘉平,政治能力
秦始皇到达郢陈,|
赏赐米,私德品行
天下欢聚,"政治能力,军事能力"
碑文说：皇帝建立丰功伟绩，皇帝统一天下。秦国伟大的皇帝确定刑法制度，秦国伟大的皇帝陈述过去的规章，统一法则，处理政务，审定职掌，建立制度，皇帝讨伐六国的诸侯王，皇帝平息暴乱，消灭贼，天地四方蒙受无限的恩泽，皇帝统一天下，运筹万物，考察情况，记载名称，纠正过错，宣扬大义，天下百姓接受风尚，人们服从国家法令，人人遵守统一的规定，人人保持太平的局面,"军事能力,政治能力,私德品行"
秦始皇登之罘，秦始皇镌刻石碑,|
秦始皇说，我尊敬卢生等人，卢生等人诽谤我，卢生等人加重我的不仁,私德品行
秦始皇肢解荆柯的尸体，秦始皇派王翦辛胜进攻燕国,"私德品行,军事能力"
数目作标准，驾车作标准,政治能力
刻辞说：调遣军队，平息暴乱，恩惠润泽大地，牛马得到赏赐，皇帝兼并诸侯，皇帝统一全国。拆毁城郭，挖河堤，铲平险阻，障碍夷平。男的耕种他的土地，女的从事她的家庭手工业，各项生产蒙受皇帝的惠泽,"军事能力,政治能力,私德品行"
秦国派将军王贲进攻齐国，秦国俘虏齐王建,军事能力
秦始皇刻辞。,|
群臣受命决断事情在咸阳宫,|
秦始皇进行推演，秦始皇认为周朝得到了火德秦朝代替周朝的火德，秦朝是水德开端,传奇色彩
秦始皇返回，秦始皇路过彭城，秦始皇打捞周鼎,|
百姓遭受严重的饥荒,政治能力
秦始皇出外，始皇的小儿子胡亥要求跟着去，秦始皇答应胡亥,家庭背景
秦始皇说天下苦于无休止的战争是因为有诸侯王的缘故依靠宗庙之灵刚刚平定了天下再去建立诸侯国这是自我树敌而要求得安宁岂不是很困难的吗，建议是正确,政治能力
秦国各王的陵庙和章台、上林苑在渭水南岸。秦国模仿诸侯国的宫殿,|
秦始皇命令连接宫殿，把地点说出去的人罪当处死,"私德品行,政治能力"
秦始皇返回秦国是从太原上郡回来的,|
男子登记年龄,"政治能力,军事能力"
秦始皇派御史审问儒生，触犯法禁的人活埋，调发徒隶戍守边境,"政治能力,私德品行"
秦始皇生于邯郸，秦始皇姓赵氏,家庭背景
丞相王绾、御史大夫冯劫、廷尉李斯说，陛下调遣义军，陛下讨贼，陛下平定天下，这是从上古以来所没有过的,"政治能力,军事能力"
晋人驱逐出境,政治能力
秦始皇为秦王,|
桓攻打赵国的平阳，桓杀死赵国将领扈辄，桓斩首十万,军事能力
隐官刑徒七十多万人营造阿房宫，修建工程,私德品行
秦始皇摆酒,|
秦始皇前往碣石，秦始皇派燕地人卢生访求羡门,政治能力
秦始皇派御史审问，秦始皇烧毁这块石头,传奇色彩
秦始皇寻求神山，秦始皇寻找仙人,私德品行
秦始皇出行咸阳，始皇有随从，秦始皇遇盗贼，杀死盗贼,军事能力
臣属会议：讨伐敌人，俘获国王，开拓领土，统一天下，消除祸患，停止战争。皇帝治理国家，皇帝处理政务。创立法律制度，明确标准器用，有职之臣遵守本分，知道自己该做些什么，百姓发生变化，每人确定固定的职务，子孙后代继承这英明的政治，群臣颂美皇帝的恩德，群臣赞扬皇帝的伟大功业,"政治能力,军事能力"
秦始皇死,|
桓领兵攻克攻下邺邑橑杨,军事能力
郡设守尉监，百姓改称黔首,政治能力
刻辞说：秦始皇制定制度，使明确关系，秦始皇明白一切事物的道理，巡视地区，检阅士卒，皇帝的功勋在于辛勤地操劳国家的根本大事，重农，抑商，器物有一致的标准，他所作所为符合天下意志，整顿风俗，优恤百姓，郡守管理地方政务，没有不整齐划一，不论远处近处还是偏僻的地方做到严肃庄重正直忠厚办事有一定的规则，皇帝的德泽安定四方。讨伐暴乱，消除祸患，兴办好事，带来福祉。百姓不进行战争，没有盗贼，人人通晓法律制度，人人遵守教化，天上地下四面八方是皇帝的领土，西边到达流沙，南边到达流沙，东边有东海，北边越过大夏，没有不臣服。功勋超过五帝，人人得到皇帝的德泽,"军事能力,政治能力,私德品行"
秦始皇临幸梁山宫，看见丞相随从车骑众多，秦始皇不以为然。丞相减少车骑，秦始皇生气，秦始皇说这是宫内的人泄漏了我的话。秦始皇下令逮捕杀掉身边人。,私德品行
齐国人茅焦劝告秦始皇，秦始皇有放逐母太后的名声。秦始皇迎接太后，秦始皇回到咸阳，秦始皇让太后居住在甘泉宫,"政治能力,私德品行"
秦始皇巡行北方边境,
赵国背叛盟约，我抓获它的国王。我消灭赵国公子嘉，秦国吏卒摧毁魏国，我抓荆国国王，我平定荆地，我派吏卒俘虏齐国国王，六国国王服其罪。要改换名号，颂扬功业，流传后世,私德品行
