content,label
太尉奉天子印玺和符节，孝文皇帝说到代国官邸去商议。大臣们来到代国官邸，说皇子刘弘等都不是孝惠帝的儿子，不应做皇帝奉祀宗庙。大王现在是高帝最大的儿子适合做高帝的继承人。希望大王即位为天子。,家庭背景
吴王假装有病，孝文皇帝赏赐坐几,私德品行
孝文皇帝让大臣们讨论,政治能力
孝文皇帝说，楚王是我的叔父，年岁大，阅历丰富，懂得很多天下的道理，明了国家大体。吴王是我的哥哥，吴王喜欢以德待人。淮南王是我的弟弟，淮南王怀美德。淮南王辅佐我，这解决皇帝的继承人。诸侯王宗室弟兄有功的大臣是贤明和有德义的人。传位儿子，人们以为我忘记了贤明有德的人，我不赞成这种做法。,"政治能力,私德品行"
群臣当中如袁盎等人论述事情，皇帝采用他们的建议,政治能力
孝文皇帝封淮南王舅父赵兼为周阳侯，文皇帝封齐王舅父驷钧为清郭侯，孝文皇帝封原来常山国的丞相蔡为樊侯,政治能力
孝文皇帝慰劳士卒，训练军队，申明教令，赏赐官兵,军事能力
孝文皇帝拜谒高庙，右丞相陈平迁徒左丞相，太尉周勃担任右丞相，大将军灌婴担任太尉，旧地归还齐楚,政治能力
孝文皇帝说，我并不英明，不能远施德泽所以致使中原以外的国家不得安宁。这两种过错是由于我缺少道德，不能使德泽流布远方。匈奴杀死很多官吏和民众，边区的官员和将领不能理解我内在的心意，边区的官员和将领加重我的不德。我操劳天下大事，我感到愁苦,私德品行
丞相陈平太尉周勃等迎接孝文皇帝，孝文皇帝询问左右近臣郎中令张武等人的意见,政治能力
孝文皇帝说，我听说法律公正则百姓忠厚，论罪量刑得当则百姓顺从。管理百姓而引导他们向善的是官吏，官吏采用不公正的法律，我看不出这种法律有什么方便的地方。官员们说，皇帝加于民众的恩惠浩荡，德泽非常深厚，不是我们臣下所能赶得上的。官员们奉诏书废除一些互相连坐的法令,"政治能力,私德品行"
孝文皇帝说，汉朝和匈奴结为兄弟，不让它侵害边境，为此输送匈奴的礼物非常丰厚。右贤王离开他的国土，带领部众，改变原来的状态，捕杀官吏。孝文皇帝调发官吏到高奴，孝文皇帝派遣丞相颖阴侯灌婴出击匈奴。匈奴撤离边塞,"政治能力,军事能力"
孝文皇帝说奉祀高帝宗庙是一件重大的事情，我没有才能，我不敢当此重任。大臣们拜伏于地请求，代王谦让。,私德品行
南越王尉佗自称武帝。孝文皇帝叫尉佗的兄弟，赐予厚禄。尉佗取消帝号，向汉朝称臣,"政治能力,私德品行"
孝文皇帝来到渭桥，大臣们来拜见，孝文皇帝下车答拜,私德品行
匈奴进入北地郡，匈奴占据黄河以南,|
孝文皇帝赏赐老人,私德品行
匈奴三万人进入上郡。孝文皇帝以中大夫令勉为车骑将军，将军张武屯守北地，祝兹侯驻军棘门，防备匈奴。匈奴人撤走。,军事能力
君子是民众的父母，人们有过错，有的人想要改过向善没有途径，我怜悯这些人。刑罚太重，不符合为民众父母的意思。废除肉刑,"政治能力,私德品行"
大臣们要求把淮南王流放到蜀郡严道邛都一带，孝文皇帝答应。淮南王病死，孝文皇帝怜悯淮南王，孝文皇帝追尊淮南王的三个儿子为淮南王、衡山王、庐江王,"政治能力,私德品行"
孝文皇帝废除宫刑,私德品行
孝文皇帝说，太尉周勃率领襄平侯纪通进入北军，典客刘揭夺下赵王吕禄的印信，太尉周勃赐予黄金，加封丞相陈平将军灌婴，赐予黄金，加封朱虚侯刘章、襄平侯纪通、东牟侯刘兴，封典客刘揭为阳信侯，赐黄金。,政治能力
孝文皇帝以绛侯周勃为丞相,政治能力
孝文皇帝让丞相停止进攻匈奴，孝文皇帝派遣棘蒲侯陈武为大将军，统率军队攻打济北王。祁侯缯贺为将军。,军事能力
孝文皇帝下达诏令，说，有一个奇异的神物出现在成纪，无害于民，今年会有好收成。我到郊外祭祀天帝和其他各神。掌管礼仪的官员讨论所应举行的礼仪，不要隐讳。孝文皇帝临雍县郊祀五帝，举行祭礼,"政治能力,传奇色彩"
孝文皇帝罢免右丞相周勃职务，左丞相陈平一人任丞相,政治能力
孝文皇帝哀怜缇萦的心意,私德品行
孝文皇帝说：列侯中跟随高帝去蜀、汉中的六十八个人都各加封食邑三百户，过去随从高帝二千石以上的官吏颍川郡郡守尊等十人，各封给食邑六百户，淮阳郡郡守申徒嘉等十人各封给食邑五百户，卫尉定等十人各封给食邑四百户。,政治能力
孝文皇帝说，官吏安定，恢复官职。反叛又回来的予赦免。,"政治能力,私德品行"
孝文皇帝不占有利益,私德品行
孝文皇帝去掉肉刑,私德品行
孝文皇帝召见鲁地的公孙臣，孝文皇帝任命鲁地的公孙臣担任博士,政治能力
孝文皇帝说，法律上有诽谤妖言之罪，皇帝无从听到自己的过失。废除法令。,政治能力
孝文皇帝不接受物品,私德品行
孝文皇帝郊祀渭阳五帝庙，举行祭礼，孝文皇帝决定崇尚赤色,"政治能力,传奇色彩"
旱灾发生全国，蝗虫为害，孝文皇帝加恩天下，孝文皇帝命令诸侯废弛对山林湖泽的禁令，孝文皇帝减少皇帝的服饰,私德品行
孝文皇帝去世，遗诏说我听说天下万物生长没有不死亡的，死亡是天地间的常理，财物用于安葬，我不赞成。我无益百姓，人家的父子减少饮食，这加重我的不德。我奉守宗庙，安宁没有战乱，我担心有错误的行为。孝文皇帝下达命令，哭丧三天，不要禁止娶妻嫁女，不要禁止祭祀鬼神，不要禁止饮酒食肉，应该服丧哭吊的人不要穿斩衰的丧服，绖带之围不要超过三寸。任命中尉周亚夫为车骑将军，典属国悍为将屯将军，郎中令张武为复土将军,私德品行
孝文皇帝临甘泉宫,|
发生日食。孝文皇帝说，上天生育了万民，君主抚养和治理万民。君主不仁德，施政不公平，上天就以灾异相示，上天告诫君主。发生日食，上天显示谴责之意。我守护宗庙，我处于亿万民众和诸侯王之上。我不能治理和养育万物主灵，我有损日、月、星辰的光辉，我的不仁德是严重。我下达诏令，都要思考我的错误，请求告诉我。推选人纠正我的过失。整顿职责，减少徭役，便利百姓。,"私德品行,传奇色彩"
孝文皇帝是太后薄氏的儿子,家庭背景
匈奴入边寇掠，匈奴杀死北地郡的都尉孙印。孝文皇帝派中尉周舍为卫将军，郎中令张武为车骑将军，孝文皇帝派遣驻扎,军事能力
孝文皇帝赐予鳏寡孤独和贫穷困苦的人，以及年龄八十以上的老人、九岁以下的孤儿一定数量的布帛米肉,私德品行
孝文皇帝做代王，吕后的家族吕产等人想要叛乱推翻刘氏政权，大臣们商量召代王来都城立为皇帝,"政治能力,私德品行"
孝文皇帝说：当大臣诛灭吕氏子弟迎接我的时候，我犹豫不决，大家都阻拦我，只有中尉宋昌劝我，这样我才能够事奉宗庙。孝文皇帝封宋昌为壮武侯,"政治能力,私德品行"
孝文皇帝减少嗜欲,私德品行
孝文皇帝废除诽谤罪,"政治能力,私德品行"
子某是长子，请立为太子。孝文皇帝答应。孝文皇帝赐予爵一级，孝文皇帝封将军薄昭为轵侯,政治能力
孝文皇帝得到玉杯，玉杯刻延寿，孝文皇帝开始把这一年改为后元元年，下令天下百姓举行盛大的聚会设宴饮酒,私德品行
张武等人接受金钱贿赂，孝文皇帝拿自己府库中的金钱赏赐，张武等人内心感到惭愧。张武等人不治罪,私德品行
孝文皇帝派遣车骑将军薄昭迎接皇太后,私德品行
孝文皇帝说，农业是天下的根本，各项事情没有比这更为重要的了。免除租税,政治能力
孝文皇帝穿粗丝衣服，表示敦厚质朴，修建霸陵采用瓦器，想节省,私德品行
孝文皇帝抚育众生,"私德品行,政治能力"
孝文皇帝封原来的琅邪王刘泽为燕王,政治能力
孝文皇帝说，百姓诅咒皇帝，这些是小民的愚昧无知。治死罪，我不赞成。,私德品行
孝文皇帝收养孤独,私德品行
犯罪的人不收没他的妻子儿女，不诛杀无罪的人,私德品行
孝文皇帝致力于用道德教化百姓,私德品行
孝文皇帝说，我听说祸患起自怨恨，幸福生于美德，这是上天的规律。我负责百官的过错，官员把过错委大臣，这使我的不道德，我不赞成这种做法,"私德品行,政治能力"
孝文皇帝是高祖的中子,家庭背景
匈奴违背盟约，孝文皇帝命令边塞加强守备。孝文皇帝害怕烦扰百姓,"军事能力,私德品行"
打垮军队，俘虏济北王，孝文皇帝赦免官吏，赦免民众,私德品行
孝文皇帝来到都城，孝文皇帝安抚诸侯和四方少数民族，赏赐从代国跟随来都城的功臣,私德品行
发生日食,|
孝文皇帝说：我听说古代诸侯建国数量有一千多个，每人守卫着自己的封土，按规定时间向天子纳贡，百姓不劳苦，上下欢欢喜喜，没有丧失道德的地方。现在列侯大多数往在长安，距离封邑遥远，那里的官吏和士卒供给输送所需物资，费力而又劳苦，列侯也无从教育训导他的民众。孝文皇帝命令列侯回到封国，太子前往封国,政治能力
孝文皇帝放出美人,私德品行
孝文皇帝调遣中尉材官归属卫将军，中尉材官驻扎长安,军事能力
孝文皇帝回到长安，说，济北王违背道德，反叛皇帝，连累了官吏和民众，大逆不道。,"政治能力,私德品行"
孝文皇帝来到都城，孝文皇帝利百姓,私德品行
孝文皇帝进入未央宫，孝文皇帝任命宋昌为卫将军，张武为郎中令巡行殿中,政治能力
孝文皇帝大赦天下，女户主给予牛和酒，男户主赐予爵，允许相聚,私德品行
工匠计算费用，孝文皇帝说，一百斤黄金相当于中等百姓十家的产业，我享有先帝的宫室，常常担心会有辱先帝，修建这露台干什么呢,私德品行
孝文皇帝说，我已是德薄之人，神灵没有享受我的祭礼，天下人民没有感到心满意足。我不能寻求天下贤圣有德的人，什么要预先确立太子，我不能向天下人交待。,私德品行
孝文皇帝去高奴，驾临太原，孝文皇帝接见原来代国的群臣。选取有功劳的大臣奖赏，百姓赐牛和酒。孝文皇帝免除徭役。,"政治能力,私德品行"
孝文皇帝说，我能够用牺牲玉帛来祭祀上天和宗庙，到现在已有十四年。抚临天下，深感自愧。主管祭祀的官员只为我祈求福佑，这加重我的不德。孝文皇帝命令主管祭祀的官员不要为他有所祈祷,私德品行
孝文皇帝说，赵幽王被幽禁而死，我怜悯赵幽王，立赵幽王的大儿子刘遂为赵王。刘辟疆以及朱虚侯刘章、东牟侯刘兴居立有功劳，封王。孝文皇帝立皇子刘武为代王，皇子刘参为太原王，皇子刘揖为梁王,"政治能力,私德品行"
孝文皇帝准备亲自带兵出击匈奴，皇太后拦阻孝文皇帝，孝文皇帝取消原来的计划。孝文皇帝封成侯董赤为内史，栾布为将军。匈奴逃走,['军事能力']
我的德薄教化不显著就是缘故，深感惭愧,['私德品行']
孝文皇帝不忍心按法律处理淮南王，孝文皇帝赦免淮南王的罪过，孝文皇帝废除淮南王的王位,['政治能力']
孝文皇帝派遣太后的弟弟薄昭前往京城，薄昭会见绛侯，绛侯等人告诉所以要迎立代王的意图。薄昭说情况是真实的没有什么可怀疑的。孝文皇帝说，果然像你说的一样。孝文皇帝派宋昌观察局势的变化,['政治能力']
孝文皇帝报告太后，孝文皇帝进行磋商，孝文皇帝没有拿定主意。孝文皇帝占卜，卦的兆象得到大横。兆辞说，大横预示着更替，我成为天王，像夏启一样发扬光大先帝的事业。孝文皇帝说，我本来已经是诸侯王了，还要做什么王。占卜的人说，所说的天王是天子,['政治能力']
丞相陈平等人说，我们在下商议，大王奉祀高帝宗庙是最适宜的，就是天下的诸侯和万民百姓也认为是妥当的。孝文皇帝说。宗室将相诸王列侯都以为没有比我更适宜的人选，那么我就不敢再推辞了。孝文皇帝为天子,['政治能力']
孝文皇帝说：农业是国家的基础，我要开垦籍田，亲自率领耕种，以供给祭祀宗庙时所用的谷物。,['政治能力']
孝文皇帝说，前些时候下诏让列侯前往自己的封国，有的托词不走。绦侯周勃免除丞相职务，回到自己的封国。大尉颖阴侯灌婴为丞相，废除太尉，太尉的权限归属丞相,['政治能力']
孝文皇帝说，法律是治理国家的准则，用它来禁绝残暴引导人们向善。妻子儿女为官府奴婢，我不赞成这种做法。大家讨论。,['政治能力']
