content,label
夏禹树立标识，夏禹测定高山大川的状貌，夏禹不顾劳累,私德品行
夏禹治理太原，夏禹治理覃怀，,政治能力
夏禹疏导淮水,政治能力
夏禹行拜礼,私德品行
天下安定,政治能力
夏禹名叫文命,家庭背景
夏禹继承天子之位,政治能力
夏禹分封诸侯，赐给土地,政治能力
夏禹说如果按你的话行事一定会做出成绩的,政治能力
帝舜任命夏禹，夏禹谦让契后稷皋陶,私德品行
天子的声威教化达到四方荒远的边陲,政治能力
夏禹的钱财用于水利工程,私德品行
禹说洪水滔天浩浩荡荡环绕着高山淹没了丘陵百姓深受水害我在陆地上行走乘车在水中行走乘船在泥沼中行走乘木橇在山路上行走就穿上带铁齿的鞋翻山越岭树立木桩在山上作了标志，我给稻粮和新鲜的肉食，我疏导河道，我引入河道，我和稷赈济吃粮都困难的百姓,私德品行
夏禹的父亲是鲧，鲧的父亲是帝颛顼，颛顼的父亲是昌意，昌意的父亲是黄帝,家庭背景
夏禹疏导长江,政治能力
夏禹是黄帝的玄孙颛顼帝的孙子，夏禹的曾祖父昌意和父亲鲧没有登临帝位，夏禹的曾祖父昌意和父亲鲧做大臣,家庭背景
舜帝推荐夏禹作为帝位的继承人,政治能力
夏禹说我整天考虑的是勤恳努力的工作,私德品行
夏禹疏导渭水,政治能力
舜帝说用我的德教来开导那么凭你的工作就会使他们归顺的,政治能力
夏禹敬奉鬼神,传奇色彩
夏禹疏导沇水,政治能力
夏禹疏导九条大河,政治能力
夏禹举用益，夏禹授给国政,政治能力
夏禹疏导漾水,政治能力
夏禹勤奋而严肃，夏禹是百官的典范,"政治能力,私德品行"
天下尊奉夏禹为山川众神之主,"政治能力,传奇色彩"
夏禹巡视物产，夏禹定其贡赋，夏禹视察交通情况,政治能力
夏禹崇敬德业,"政治能力,私德品行"
禹说我娶涂山氏的女儿时只经四天婚期就又去治水了我的孩子启从生下来我未曾抚育过所以才能使平治水土的工作取得成功,"政治能力,私德品行"
夏禹封皋陶的后代,政治能力
帝舜举用夏禹,政治能力
夏禹接受天下诸侯的朝拜,政治能力
夏禹举用皋陶，禹帝授给国政,政治能力
皋陶敬重禹的功德,私德品行
夏禹接受舜帝的命令，夏禹命令诸侯百官征集民夫，夏禹展开平治水土工作,政治能力
帝舜宣告治水成功,政治能力
夏禹疏导黑水,政治能力
夏禹督导治水，禹督导治水的行程是从冀州开始,政治能力
夏禹开通九条山脉的道路,政治能力
禹说您如果不这样好人坏人全都混同起来不分那就不会成就大事,"政治能力,私德品行"
夏禹疏导洛水,政治能力
夏禹叫伯益发放稻种，夏禹教导群众种植教导,政治能力
帝舜让夏禹继续他父亲鲧治水的事业,|
山川河流治理好了，九州统一，九条山脉开道路，九个大湖筑堤防，四海之内的诸侯来京城,政治能力
夏禹让一些地区调余粮，各诸侯境内有粮食吃,['私德品行']
国号为夏后,['|']
夏禹为人聪明机智，夏禹办事敏捷，夏禹遵守道德，发声合乎音律，举止合乎法度,['政治能力']
我帮助帝王设置五服，范围达到五千里。天下十二州任命长官，他们尽职守，他们有功绩,['政治能力']
皋陶申述他的意见，皋陶说遵循道德确定不移就能做到谋略高明臣下团结。夏禹说很对但应该怎样做呢。夏禹拜谢皋陶的善言,['政治能力']
