content,label
西伯的僚臣闳夭等人找美女珍宝和好马，纣赦免西伯,私德品行
纣任费仲管理国家政事,政治能力
纣嗜好喝酒，纣宠爱女人,私德品行
纣宠爱妲己，纣让乐师涓创作新的放荡的乐曲，北里舞曲，淫靡的歌,私德品行
诸侯背叛纣，诸侯们说可以讨伐纣了,政治能力
纣王丧失权势,政治能力
纣淫乱无止境,私德品行
比干进谏言劝说纣，纣不肯听,政治能力
纣登鹿台，纣穿他的宝玉衣，纣自焚,|
纣说，我生下来不就是有天命护佑吗,私德品行
纣无礼,私德品行
纣杀九侯的女儿，因为九侯的女儿不喜淫荡作乐,私德品行
纣答应西伯，纣让西伯征伐其他诸侯，西伯成西部地区的诸侯之长,政治能力
商容是有才德的人，纣废黜商容,"政治能力,私德品行"
纣搜集狗马和新奇的玩物，纣扩建沙丘的园林楼台，纣捕捉野兽飞鸟,私德品行
纣抬高自己，纣认为天下所有的人都不如他,私德品行
这是辛帝，叫纣,家庭背景
纣任用恶来，诸侯疏远纣王,政治能力
纣剖比干的胸膛，纣挖比干的心,私德品行
鄂侯遭到脯刑，鄂侯制成肉干,私德品行
纣有口才，纣的智慧拒绝臣下的谏劝，纣的语言掩饰自己的过错,私德品行
纣囚禁箕子,私德品行
西伯献洛水以西的土地，西伯请求纣废除炮格的酷刑,"私德品行,政治能力"
纣任用西伯昌、九侯、鄂侯为三公,['政治能力']
百姓们怨恨纣，有的诸侯背叛纣。纣加重刑罚，纣发明一种叫做炮格的酷刑,['私德品行']
纣加重赋税，纣充盈粮仓,['政治能力']
