content,label
武王说上天将赐福给大家，武王拜谢还礼,"传奇色彩,私德品行"
武王遵循遗业,"政治能力,私德品行"
武王巡视各个诸侯国，武王记录政事，写《武成》篇，武王宣告武灭殷的功业成就,"政治能力,军事能力"
一个火团落在武王的屋顶上，一个火团发出魄魄的鸣声,传奇色彩
武王来到商郊牧野，武王举行誓师,军事能力
武王祭祀文王，武王前往东方举行阅兵，武王到达盟津,军事能力
武王放出狱，表彰百姓,"私德品行,政治能力"
武王出城，武王回到军中,军事能力
武王自称太子发，武王表示是以文王的名义征伐不敢独断专行,私德品行
武王询问殷朝灭亡的原因,政治能力
武王封尚父，武王封同公旦，其他人受封,政治能力
武王宣告，要小心谨慎，说到做到。我是无知之人，先祖有德行。我承受先人的功业，制定制度，确保完成功业,"私德品行,政治能力"
武王追思古代的圣王,私德品行
武王进城，左右的大臣们跟着武王,政治能力
武王命令宗祝祭祀将士,私德品行
武王作《太誓》，武王宣告现在殷王纣竟然听信妻妾之言，自绝于上天，违背日月北斗的运行，疏远自己的同祖兄弟，竟然废弃其先祖的音乐，敢采用淫乱的音乐去窜改典雅的音乐以取悦于他的妻妾。我执行上天的惩罚,"政治能力,军事能力"
武王命人清理道路，武王修整社庙和商纣的宫室,政治能力
武王来到商的都城，城中的百姓等待欢迎,"政治能力,私德品行"
武王找到纣自焚的地方，武王发箭射纣的尸体，武王砍纣的头，武王砍宠妾的头,军事能力
武王说，殷王罪恶深重，不可不合力讨伐。,"军事能力,政治能力"
武王派师尚父率领百名勇士，武王率领拥有战车三百五十辆士卒两万六千二百五十人勇士三千人的大部队,军事能力
武王命令南宫括散发聚集在鹿台的钱财和巨桥的粮食，赈济野人和贱民,私德品行
武王封殷的遗民给禄父，武王派他的弟弟管叔鲜蔡叔度辅佐禄父治理殷国,政治能力
武王说，我承受上天之命，革除殷朝弊政，接受上天降下的光明之命。武王拜稽首,"传奇色彩,政治能力"
武王渡黄河，船到达河的中央，白鱼跳武王的船中，武王拾白鱼，武王用祭祀,传奇色彩
武王说，古人有句老话母鸡不报晓。我姬发执行上天的惩罚，我问斩不努力的人,私德品行
武王说，要勤勤恳恳不可懈怠呀。,私德品行
武王登豳的高地，武王遥望商的都城。武王回到周，周公旦来到王的住处，周公旦问您为什么睡不着呢。武王说，我没有得到上天的保佑，我哪有睡觉。武王说如果想真正得到上天的庇佑就要依靠太室山把不知天命的作恶之人全部找出来贬黜了他们与殷王受同样的罪，我克尽职守，我做各项事务,私德品行
武王放箕子出狱,私德品行
武王遵循遗旨,"政治能力,政治能力"
武王说啊，我的友邦的国君们司徒司马司空亚旅师氏各位卿大夫们千夫长百夫长各位将领们竖起你们的矛，我们来发誓。,军事能力
武王命修缮比干的坟墓,私德品行
诸侯说纣可以伐了，武王说你们还不了解天命，现在还不行。率领回去,"传奇色彩,政治能力"
武王急驱战车，纣的军队背叛殷纣,['|']
纣王的军队攻打纣，纣王的军队为武王开路,['军事能力']
武王持太白旗，诸侯拜向武王，武王作揖，诸侯跟从武王,['政治能力']
武王赏赐殷的宗庙祭器，武王写分殷之器物篇，他记录他的命令和诸侯分封所得的器物,['政治能力']
