content,label
帝舜号为有虞,
帝舜定位日月及金木水火土五星，帝舜举行临时仪式，帝舜告上天，帝舜祭祀天地四时，帝舜祭祀各路神祗,
帝舜出名,
帝舜耕田，帝舜打鱼，帝舜做陶器，帝舜做各种家用器物，帝舜跑买卖，,
帝舜说喂你们二十二个人要谨守职责时时辅佐我做好上天交付的治国大事,
帝尧要帝舜登临天子位，帝舜推让说德行不够,
帝舜让尧的两个女儿降尊贵之心住妫河边的家中，她们遵守为妇之道,
帝喾娶陈锋氏的女儿，帝喾生放勋,
帝喾顺应上天的意旨，帝喾了解下民之所急,
项羽说，来客是干什么的。张良说，这是沛公的参乘樊哙。项羽说壮士，项羽赏赐酒。项羽说赏给樊哙猪腿,
项羽派龙且迎战,
汉军包围项羽，项羽斩汉军的一个都尉，项羽杀死百十来人。项羽说，怎么样，骑兵佩服项羽,
项羽找黥布蒲将军商量，说，秦军官兵还很多，他们心里不服，到了关中不听从命令，事情必然岌岌可危，不如杀掉他们，而只与章邯、长史司马欣、都尉董翳一起入秦。楚军处死秦军士卒二十多万人,
项羽使长史司马欣为上将军，使长史司马欣率领秦军为先行部队,
项羽立申阳为河南王,
项梁拿郡守的脑袋，身上系郡守的官印。项羽杀死百十来人。项梁召集昔日所熟悉的有胆识的豪吏，项梁讲所要做的起兵反秦这件事情。,
项羽围攻成皋,
项羽看见秦朝宫室都已烧毁残破不堪，项羽怀念故乡，项羽欲东归。项羽说，富贵了不回故乡，如同衣绣夜行有谁能知道,
韩王成没有军功，项羽让韩王成到彭城，韩王成废去王号，项羽杀死韩王成,
齐工市害怕项羽,
项羽催促义帝动身去长沙郴县,
高祖平定关中,军事能力
梁王彭越谋反，高祖废除梁王彭越的封号，梁王彭越迁徙蜀地,政治能力
高祖带来一百多骑兵，高祖驰至鸿门，表示歉意,
汉军挑战楚军，汉军辱骂五六天楚军。汉军打败楚军，缴获财宝,军事能力
高祖说：秦始皇帝、楚隐王陈涉、魏安釐王、齐缗王、赵悼襄王都绝嗣无后，分别给予十户人家看守坟墓，秦始皇帝二十家，魏公子无忌五家。,政治能力
高祖进入函谷关，高祖来到冻阳，高祖慰问父老,政治能力
高祖伤胸部，高祖摸脚说：这个贼人射中了我的脚趾,政治能力
高祖是一个大人物，高祖有仁厚长者的风度,私德品行
高祖说：丰邑是我生长的地方，绝不会忘记。高祖免除丰邑徭役。,政治能力
高祖度过平阴津，到达雒阳,
群臣说：高祖起于细微平民，拨乱反正，平定天下，是汉朝的开国始祖，功劳最高。上尊号为高皇帝。,军事能力
高祖修筑甬道。项羽夺取汉军的甬道，汉军缺少粮食。项羽围攻高祖。高祖请求讲和，荥阳以西的土地归汉,政治能力
陈胜将领周章的军队至戏水。燕自立为王。项梁、项羽起兵于吴。,
高祖攻打陈豨,军事能力
项羽说：这是你左司马曹无伤向我说的。高祖脱身，高祖杀曹无伤,政治能力
高祖喝酒,私德品行
卢缩和数千名骑兵停留在边塞，希望高祖病好了去向高祖请罪。,
高祖取城邑,军事能力
郦食其游说高祖，高祖坐在床上，高祖伸两腿，让两个女子洗脚,私德品行
高祖带酒意抄小路，高祖派一人前行探路。前行探路的人说：前面有条大蛇横在路当中，请回去吧。高祖说：好汉走路，何所畏惧。高祖上前，拔剑击蛇。,军事能力
郎中郑忠劝阻高祖，高祖采用郑忠的计策,政治能力
许多没有攻下的城邑，听到这个消息，打开城门,
那些跟随高祖的人敬畏高祖,
高祖说：代地的官吏和百姓并非有罪，高祖赦免百姓和官吏,政治能力
孝武皇帝去雍县郊祀，孝武皇帝到陇西，孝武皇帝登崆峒山，孝武皇帝回到甘泉命令祠官宽舒等筹建泰一祠坛，祠官宽舒等修筑八条鬼神通道,
孝武皇帝到泰山，孝武皇帝祭祀常山,
有的方士说黄帝时建造五城十二楼目的就是在执期等候仙人称为迎年，孝武皇帝允许兴建，称为明年。孝武皇帝穿黄色衣服祭祀上天,
孝武皇帝刻天道将军的玉印，孝武皇帝派使者穿羽衣，栾大穿羽衣站在白茅上接受此玉印。栾大佩戴天道将军印是将要为天子引导天神，栾大想使神仙下临,
孝武皇帝说，黄河泛滥，修堤，我统治天下，上天要赐我贤才之士，就是栾大，栾大通天意。栾大为乐通侯,
孝武皇帝和公卿、儒生讨论封禅的事，孝武皇帝命令儒生们练习射牛，孝武皇帝听公孙卿和方士的话，孝武皇帝仿效黄帝接见神仙人蓬莱方士之法。,
李少君见到孝武皇帝，孝武皇帝藏一件旧铜器，孝武皇帝问李少君，李少君说这件铜器曾经在齐桓公十年时陈列在柏寝台。孝武皇帝察看字，是齐桓公时代的器物,
孝武皇帝修建前殿，扩建宫室,
五利将军去往泰山，孝武皇帝派人尾随检察，孝武皇帝发现五利将军实际上什么也没见到，五利将军谎称见到他的老师。孝武皇帝杀五利将军,
孝武皇帝给老人加赐布帛二匹，免除徭役，不缴纳当年的租税，大赦天下，凡我经过的地方免除监外执行的劳役,
方土们说蓬莱各神山似乎也将找到了，孝武皇帝认为自己也许能遇到神仙，孝武皇帝到海边希望看到蓬莱仙岛,
孝武皇帝从封禅之处回来，说，我以卑微之体继承了至高无上的权位，兢兢业业深恐不能胜任,
秦始皇驱逐匈奴，设置县，修筑要塞,
使者献壁玉，使者讲述事情的全部经过，使者讲述经过，秦始皇无语，秦始皇说山野的鬼怪只不过知道一年之内的事情,
秦始皇巡行陇西北地，秦始皇来到鸡头山，秦始皇路过回中,
秦始皇来到邯郸，秦始皇坑杀与母亲家里有仇怨的,
我是始皇帝，子孙后代计算，传袭,
桓攻赵国，进攻军队，夺取宜安，打垮赵国军队，杀死赵国将军,
秦始皇住宿在雍地,
俘虏王嘉,
修建驰道,
秦国一支军队到达邺邑，秦国一支军队到达太原,
秦始皇禁止祭祀,
每户赐爵位一级,
接收韩国南阳地区,
成汤说我很勇武，成汤号称武王,
诸侯表示臣服，成汤登天子之位，商汤平定天下,
朝廷的号令出自吕太后,
吕太后封中大谒者张释为建陵侯，封吕荣为祝兹侯，封那些在宫中由宦官担任的令、丞为关内侯，每人食邑五百户,
吕太后砍戚夫人的手脚，挖戚夫人的眼睛，熏烧戚夫人的耳朵。吕太后让戚夫人喝哑药，让戚夫人住在厕所里。,
高祖和吕太后平定天下,
吕太后封吕氏子弟为王,
孝景皇帝允许匈奴进入代地,
规定罪犯和奴隶穿极粗劣的衣服,
申屠嘉去世,
孝景皇帝废刘荣，封刘荣为临江王,
下冰雹,
孝景皇帝立胶东王的母亲为皇后,
发生地震，上庸地震持续二十二天，上庸地震毁坏城墙,
孝景皇帝派遣军队驻扎,
